,Nom,JJ,rr24,t
0,BORDEAUX-MERIGNAC,20160101,0.075,8.4125
1,BORDEAUX-MERIGNAC,20160102,1.525,10.25
2,BORDEAUX-MERIGNAC,20160103,7.9625,8.525
3,BORDEAUX-MERIGNAC,20160104,21.5625,10.3
4,BORDEAUX-MERIGNAC,20160105,12.45,8.0625
5,BORDEAUX-MERIGNAC,20160106,18.025,9.4625
6,BORDEAUX-MERIGNAC,20160107,41.8375,12.0625
7,BORDEAUX-MERIGNAC,20160108,11.3125,11.1125
8,BORDEAUX-MERIGNAC,20160109,1.45,11.25
9,BORDEAUX-MERIGNAC,20160110,17.6875,9.1625
10,BORDEAUX-MERIGNAC,20160111,22.4875,9.575
11,BORDEAUX-MERIGNAC,20160112,15.675,7.8125
12,BORDEAUX-MERIGNAC,20160113,5.15,6.2875
13,BORDEAUX-MERIGNAC,20160114,5.7,7.725
14,BORDEAUX-MERIGNAC,20160115,2.8,4.65
15,BORDEAUX-MERIGNAC,20160116,0.075,3.1125
16,BORDEAUX-MERIGNAC,20160117,0.0,4.125
17,BORDEAUX-MERIGNAC,20160118,6.2375,6.3875
18,BORDEAUX-MERIGNAC,20160119,10.8375,8.9125
19,BORDEAUX-MERIGNAC,20160120,3.125,8.55
20,BORDEAUX-MERIGNAC,20160121,0.0875,4.8375
21,BORDEAUX-MERIGNAC,20160122,4.025,8.3625
22,BORDEAUX-MERIGNAC,20160123,3.875,11.25
23,BORDEAUX-MERIGNAC,20160124,0.15,9.9625
24,BORDEAUX-MERIGNAC,20160125,0.05,11.3875
25,BORDEAUX-MERIGNAC,20160126,0.125,11.15
26,BORDEAUX-MERIGNAC,20160127,0.075,9.425
27,BORDEAUX-MERIGNAC,20160128,0.275,9.975
28,BORDEAUX-MERIGNAC,20160129,0.7125,7.9875
29,BORDEAUX-MERIGNAC,20160130,0.9375,9.0625
30,BORDEAUX-MERIGNAC,20160131,12.625,12.725
31,BORDEAUX-MERIGNAC,20160201,4.875,12.4625
32,BORDEAUX-MERIGNAC,20160202,1.1,11.5375
33,BORDEAUX-MERIGNAC,20160203,6.9875,9.1
34,BORDEAUX-MERIGNAC,20160204,0.825,7.4625
35,BORDEAUX-MERIGNAC,20160205,0.0,9.5375
36,BORDEAUX-MERIGNAC,20160206,-0.0125,10.425
37,BORDEAUX-MERIGNAC,20160207,11.1875,9.2125
38,BORDEAUX-MERIGNAC,20160208,6.0625,12.4375
39,BORDEAUX-MERIGNAC,20160209,24.75,10.4875
40,BORDEAUX-MERIGNAC,20160210,14.275,6.775
41,BORDEAUX-MERIGNAC,20160211,5.475,8.15
42,BORDEAUX-MERIGNAC,20160212,14.1,10.4125
43,BORDEAUX-MERIGNAC,20160213,6.625,11.9625
44,BORDEAUX-MERIGNAC,20160214,32.4,7.725
45,BORDEAUX-MERIGNAC,20160215,7.725,4.75
46,BORDEAUX-MERIGNAC,20160216,0.0,3.55
47,BORDEAUX-MERIGNAC,20160217,0.0,2.6375
48,BORDEAUX-MERIGNAC,20160218,0.5125,6.0875
49,BORDEAUX-MERIGNAC,20160219,0.0875,5.675
50,BORDEAUX-MERIGNAC,20160220,0.1875,9.1125
51,BORDEAUX-MERIGNAC,20160221,0.525,11.425
52,BORDEAUX-MERIGNAC,20160222,0.05,8.725
53,BORDEAUX-MERIGNAC,20160223,3.775,11.0875
54,BORDEAUX-MERIGNAC,20160224,3.975,11.425
55,BORDEAUX-MERIGNAC,20160225,3.9625,8.3375
56,BORDEAUX-MERIGNAC,20160226,1.625,6.25
57,BORDEAUX-MERIGNAC,20160227,2.3,7.7625
58,BORDEAUX-MERIGNAC,20160228,2.6625,6.25
59,BORDEAUX-MERIGNAC,20160229,-0.025,5.3
60,BORDEAUX-MERIGNAC,20160301,-0.0125,6.625
61,BORDEAUX-MERIGNAC,20160302,10.7625,10.2875
62,BORDEAUX-MERIGNAC,20160303,7.8375,8.8
63,BORDEAUX-MERIGNAC,20160304,18.4625,9.525
64,BORDEAUX-MERIGNAC,20160305,17.3375,6.8
65,BORDEAUX-MERIGNAC,20160306,1.55,5.8125
66,BORDEAUX-MERIGNAC,20160307,0.4,6.9625
67,BORDEAUX-MERIGNAC,20160308,0.0125,6.2
68,BORDEAUX-MERIGNAC,20160309,8.85,8.325
69,BORDEAUX-MERIGNAC,20160310,7.725,7.25
70,BORDEAUX-MERIGNAC,20160311,0.5375,7.975
71,BORDEAUX-MERIGNAC,20160312,0.0,9.0
72,BORDEAUX-MERIGNAC,20160313,0.0,7.45
73,BORDEAUX-MERIGNAC,20160314,0.0,8.4625
74,BORDEAUX-MERIGNAC,20160315,0.0,9.2625
75,BORDEAUX-MERIGNAC,20160316,-0.05,7.85
76,BORDEAUX-MERIGNAC,20160317,-0.05,7.9875
77,BORDEAUX-MERIGNAC,20160318,2.7,7.875
78,BORDEAUX-MERIGNAC,20160319,1.7,11.65
79,BORDEAUX-MERIGNAC,20160320,3.45,11.3625
80,BORDEAUX-MERIGNAC,20160321,9.7375,10.5875
81,BORDEAUX-MERIGNAC,20160322,-0.025,9.025
82,BORDEAUX-MERIGNAC,20160323,0.0,9.7375
83,BORDEAUX-MERIGNAC,20160324,0.0,9.0625
84,BORDEAUX-MERIGNAC,20160325,0.2125,10.025
85,BORDEAUX-MERIGNAC,20160326,0.775,15.25
86,BORDEAUX-MERIGNAC,20160327,5.275,11.025
87,BORDEAUX-MERIGNAC,20160328,3.25,12.8375
88,BORDEAUX-MERIGNAC,20160329,1.025,12.575
89,BORDEAUX-MERIGNAC,20160330,0.45,15.425
90,BORDEAUX-MERIGNAC,20160331,4.225,9.875
91,BORDEAUX-MERIGNAC,20160401,3.7625,9.225
92,BORDEAUX-MERIGNAC,20160402,0.0,11.425
93,BORDEAUX-MERIGNAC,20160403,0.125,13.7125
94,BORDEAUX-MERIGNAC,20160404,2.6,10.9875
95,BORDEAUX-MERIGNAC,20160405,6.425,11.8
96,BORDEAUX-MERIGNAC,20160406,0.0125,10.425
97,BORDEAUX-MERIGNAC,20160407,3.025,9.1875
98,BORDEAUX-MERIGNAC,20160408,2.975,7.8375
99,BORDEAUX-MERIGNAC,20160409,6.4,9.7375
100,BORDEAUX-MERIGNAC,20160410,4.2875,14.3125
101,BORDEAUX-MERIGNAC,20160411,0.375,13.975
102,BORDEAUX-MERIGNAC,20160412,2.65,13.75
103,BORDEAUX-MERIGNAC,20160413,2.15,12.75
104,BORDEAUX-MERIGNAC,20160414,0.4375,13.6625
105,BORDEAUX-MERIGNAC,20160415,8.425,13.0
106,BORDEAUX-MERIGNAC,20160416,6.725,13.0875
