,Nom,JJ,rr24
0,BORDEAUX-MERIGNAC,20160101,0.075
1,BORDEAUX-MERIGNAC,20160102,1.525
2,BORDEAUX-MERIGNAC,20160103,7.9625
3,BORDEAUX-MERIGNAC,20160104,21.5625
4,BORDEAUX-MERIGNAC,20160105,12.45
5,BORDEAUX-MERIGNAC,20160106,18.025
6,BORDEAUX-MERIGNAC,20160107,41.8375
7,BORDEAUX-MERIGNAC,20160108,11.3125
8,BORDEAUX-MERIGNAC,20160109,1.45
9,BORDEAUX-MERIGNAC,20160110,17.6875
10,BORDEAUX-MERIGNAC,20160111,22.4875
11,BORDEAUX-MERIGNAC,20160112,15.675
12,BORDEAUX-MERIGNAC,20160113,5.15
13,BORDEAUX-MERIGNAC,20160114,5.7
14,BORDEAUX-MERIGNAC,20160115,2.8
15,BORDEAUX-MERIGNAC,20160116,0.075
16,BORDEAUX-MERIGNAC,20160117,0.0
17,BORDEAUX-MERIGNAC,20160118,6.2375
18,BORDEAUX-MERIGNAC,20160119,10.8375
19,BORDEAUX-MERIGNAC,20160120,3.125
20,BORDEAUX-MERIGNAC,20160121,0.0875
21,BORDEAUX-MERIGNAC,20160122,4.025
22,BORDEAUX-MERIGNAC,20160123,3.875
23,BORDEAUX-MERIGNAC,20160124,0.15
24,BORDEAUX-MERIGNAC,20160125,0.05
25,BORDEAUX-MERIGNAC,20160126,0.125
26,BORDEAUX-MERIGNAC,20160127,0.075
27,BORDEAUX-MERIGNAC,20160128,0.275
28,BORDEAUX-MERIGNAC,20160129,0.7125
29,BORDEAUX-MERIGNAC,20160130,0.9375
30,BORDEAUX-MERIGNAC,20160131,12.625
31,BORDEAUX-MERIGNAC,20160201,4.875
32,BORDEAUX-MERIGNAC,20160202,1.1
33,BORDEAUX-MERIGNAC,20160203,6.9875
34,BORDEAUX-MERIGNAC,20160204,-2498.925
35,BORDEAUX-MERIGNAC,20160205,0.0
36,BORDEAUX-MERIGNAC,20160206,-0.0125
37,BORDEAUX-MERIGNAC,20160207,11.1875
38,BORDEAUX-MERIGNAC,20160208,6.0625
39,BORDEAUX-MERIGNAC,20160209,24.75
40,BORDEAUX-MERIGNAC,20160210,14.275
41,BORDEAUX-MERIGNAC,20160211,5.475
42,BORDEAUX-MERIGNAC,20160212,14.1
43,BORDEAUX-MERIGNAC,20160213,6.625
44,BORDEAUX-MERIGNAC,20160214,32.4
45,BORDEAUX-MERIGNAC,20160215,7.725
46,BORDEAUX-MERIGNAC,20160216,0.0
47,BORDEAUX-MERIGNAC,20160217,0.0
48,BORDEAUX-MERIGNAC,20160218,0.5125
49,BORDEAUX-MERIGNAC,20160219,0.0875
50,BORDEAUX-MERIGNAC,20160220,0.1875
51,BORDEAUX-MERIGNAC,20160221,0.525
52,BORDEAUX-MERIGNAC,20160222,0.05
53,BORDEAUX-MERIGNAC,20160223,3.775
54,BORDEAUX-MERIGNAC,20160224,3.975
55,BORDEAUX-MERIGNAC,20160225,3.9625
56,BORDEAUX-MERIGNAC,20160226,1.625
57,BORDEAUX-MERIGNAC,20160227,2.3
58,BORDEAUX-MERIGNAC,20160228,2.6625
59,BORDEAUX-MERIGNAC,20160229,-0.025
60,BORDEAUX-MERIGNAC,20160301,-0.0125
61,BORDEAUX-MERIGNAC,20160302,10.7625
62,BORDEAUX-MERIGNAC,20160303,7.8375
63,BORDEAUX-MERIGNAC,20160304,18.4625
64,BORDEAUX-MERIGNAC,20160305,17.3375
65,BORDEAUX-MERIGNAC,20160306,1.55
66,BORDEAUX-MERIGNAC,20160307,0.4
67,BORDEAUX-MERIGNAC,20160308,0.0125
68,BORDEAUX-MERIGNAC,20160309,8.85
69,BORDEAUX-MERIGNAC,20160310,7.725
70,BORDEAUX-MERIGNAC,20160311,0.5375
71,BORDEAUX-MERIGNAC,20160312,0.0
72,BORDEAUX-MERIGNAC,20160313,0.0
73,BORDEAUX-MERIGNAC,20160314,-1249.875
74,BORDEAUX-MERIGNAC,20160315,0.0
75,BORDEAUX-MERIGNAC,20160316,-0.05
76,BORDEAUX-MERIGNAC,20160317,-0.05
77,BORDEAUX-MERIGNAC,20160318,2.7
78,BORDEAUX-MERIGNAC,20160319,1.7
79,BORDEAUX-MERIGNAC,20160320,3.45
80,BORDEAUX-MERIGNAC,20160321,9.7375
81,BORDEAUX-MERIGNAC,20160322,-0.025
82,BORDEAUX-MERIGNAC,20160323,0.0
83,BORDEAUX-MERIGNAC,20160324,0.0
84,BORDEAUX-MERIGNAC,20160325,0.2125
85,BORDEAUX-MERIGNAC,20160326,0.775
86,BORDEAUX-MERIGNAC,20160327,5.275
87,BORDEAUX-MERIGNAC,20160328,3.25
88,BORDEAUX-MERIGNAC,20160329,1.025
89,BORDEAUX-MERIGNAC,20160330,0.45
90,BORDEAUX-MERIGNAC,20160331,4.225
91,BORDEAUX-MERIGNAC,20160401,3.7625
92,BORDEAUX-MERIGNAC,20160402,0.0
93,BORDEAUX-MERIGNAC,20160403,0.125
94,BORDEAUX-MERIGNAC,20160404,2.6
95,BORDEAUX-MERIGNAC,20160405,6.425
96,BORDEAUX-MERIGNAC,20160406,0.0125
97,BORDEAUX-MERIGNAC,20160407,3.025
98,BORDEAUX-MERIGNAC,20160408,2.975
99,BORDEAUX-MERIGNAC,20160409,6.4
100,BORDEAUX-MERIGNAC,20160410,4.2875
101,BORDEAUX-MERIGNAC,20160411,0.375
102,BORDEAUX-MERIGNAC,20160412,2.65
103,BORDEAUX-MERIGNAC,20160413,2.15
104,BORDEAUX-MERIGNAC,20160414,0.4375
105,BORDEAUX-MERIGNAC,20160415,8.425
106,BORDEAUX-MERIGNAC,20160416,6.725
107,BORDEAUX-MERIGNAC,20160417,3.175
108,BORDEAUX-MERIGNAC,20160418,0.4125
109,BORDEAUX-MERIGNAC,20160419,0.0
110,BORDEAUX-MERIGNAC,20160420,0.2
111,BORDEAUX-MERIGNAC,20160421,1.0
112,BORDEAUX-MERIGNAC,20160422,0.1125
113,BORDEAUX-MERIGNAC,20160423,1.8625
114,BORDEAUX-MERIGNAC,20160424,2.5125
115,BORDEAUX-MERIGNAC,20160425,-0.0125
116,BORDEAUX-MERIGNAC,20160426,0.475
117,BORDEAUX-MERIGNAC,20160427,0.0625
118,BORDEAUX-MERIGNAC,20160428,0.0
