	Nom	JJ	t
0	BORDEAUX-MERIGNAC	20160101	8.4125
1	BORDEAUX-MERIGNAC	20160102	10.25
2	BORDEAUX-MERIGNAC	20160103	8.525
3	BORDEAUX-MERIGNAC	20160104	10.3
4	BORDEAUX-MERIGNAC	20160105	8.0625
5	BORDEAUX-MERIGNAC	20160106	9.4625
6	BORDEAUX-MERIGNAC	20160107	12.0625
7	BORDEAUX-MERIGNAC	20160108	11.1125
8	BORDEAUX-MERIGNAC	20160109	11.25
9	BORDEAUX-MERIGNAC	20160110	9.1625
10	BORDEAUX-MERIGNAC	20160111	9.575
11	BORDEAUX-MERIGNAC	20160112	7.8125
12	BORDEAUX-MERIGNAC	20160113	6.2875
13	BORDEAUX-MERIGNAC	20160114	7.725
14	BORDEAUX-MERIGNAC	20160115	4.65
15	BORDEAUX-MERIGNAC	20160116	3.1125
16	BORDEAUX-MERIGNAC	20160117	4.125
17	BORDEAUX-MERIGNAC	20160118	6.3875
18	BORDEAUX-MERIGNAC	20160119	8.9125
19	BORDEAUX-MERIGNAC	20160120	8.55
20	BORDEAUX-MERIGNAC	20160121	4.8375
21	BORDEAUX-MERIGNAC	20160122	8.3625
22	BORDEAUX-MERIGNAC	20160123	11.25
23	BORDEAUX-MERIGNAC	20160124	9.9625
24	BORDEAUX-MERIGNAC	20160125	11.3875
25	BORDEAUX-MERIGNAC	20160126	11.15
26	BORDEAUX-MERIGNAC	20160127	9.425
27	BORDEAUX-MERIGNAC	20160128	9.975
28	BORDEAUX-MERIGNAC	20160129	7.9875
29	BORDEAUX-MERIGNAC	20160130	9.0625
30	BORDEAUX-MERIGNAC	20160131	12.725
31	BORDEAUX-MERIGNAC	20160201	12.4625
32	BORDEAUX-MERIGNAC	20160202	11.5375
33	BORDEAUX-MERIGNAC	20160203	9.1
34	BORDEAUX-MERIGNAC	20160204	7.4625
35	BORDEAUX-MERIGNAC	20160205	9.5375
36	BORDEAUX-MERIGNAC	20160206	10.425
37	BORDEAUX-MERIGNAC	20160207	9.2125
38	BORDEAUX-MERIGNAC	20160208	12.4375
39	BORDEAUX-MERIGNAC	20160209	10.4875
40	BORDEAUX-MERIGNAC	20160210	6.775
41	BORDEAUX-MERIGNAC	20160211	8.15
42	BORDEAUX-MERIGNAC	20160212	10.4125
43	BORDEAUX-MERIGNAC	20160213	11.9625
44	BORDEAUX-MERIGNAC	20160214	7.725
45	BORDEAUX-MERIGNAC	20160215	4.75
46	BORDEAUX-MERIGNAC	20160216	3.55
47	BORDEAUX-MERIGNAC	20160217	2.6375
48	BORDEAUX-MERIGNAC	20160218	6.0875
49	BORDEAUX-MERIGNAC	20160219	5.675
50	BORDEAUX-MERIGNAC	20160220	9.1125
51	BORDEAUX-MERIGNAC	20160221	11.425
52	BORDEAUX-MERIGNAC	20160222	8.725
53	BORDEAUX-MERIGNAC	20160223	11.0875
54	BORDEAUX-MERIGNAC	20160224	11.425
55	BORDEAUX-MERIGNAC	20160225	8.3375
56	BORDEAUX-MERIGNAC	20160226	6.25
57	BORDEAUX-MERIGNAC	20160227	7.7625
58	BORDEAUX-MERIGNAC	20160228	6.25
59	BORDEAUX-MERIGNAC	20160229	5.3
60	BORDEAUX-MERIGNAC	20160301	6.625
61	BORDEAUX-MERIGNAC	20160302	10.2875
62	BORDEAUX-MERIGNAC	20160303	8.8
63	BORDEAUX-MERIGNAC	20160304	9.525
64	BORDEAUX-MERIGNAC	20160305	6.8
65	BORDEAUX-MERIGNAC	20160306	5.8125
66	BORDEAUX-MERIGNAC	20160307	6.9625
67	BORDEAUX-MERIGNAC	20160308	6.2
68	BORDEAUX-MERIGNAC	20160309	8.325
69	BORDEAUX-MERIGNAC	20160310	7.25
70	BORDEAUX-MERIGNAC	20160311	7.975
71	BORDEAUX-MERIGNAC	20160312	9.0
72	BORDEAUX-MERIGNAC	20160313	7.45
73	BORDEAUX-MERIGNAC	20160314	8.4625
74	BORDEAUX-MERIGNAC	20160315	9.2625
75	BORDEAUX-MERIGNAC	20160316	7.85
76	BORDEAUX-MERIGNAC	20160317	7.9875
77	BORDEAUX-MERIGNAC	20160318	7.875
78	BORDEAUX-MERIGNAC	20160319	11.65
79	BORDEAUX-MERIGNAC	20160320	11.3625
80	BORDEAUX-MERIGNAC	20160321	10.5875
81	BORDEAUX-MERIGNAC	20160322	9.025
82	BORDEAUX-MERIGNAC	20160323	9.7375
83	BORDEAUX-MERIGNAC	20160324	9.0625
84	BORDEAUX-MERIGNAC	20160325	10.025
85	BORDEAUX-MERIGNAC	20160326	15.25
86	BORDEAUX-MERIGNAC	20160327	11.025
87	BORDEAUX-MERIGNAC	20160328	12.8375
88	BORDEAUX-MERIGNAC	20160329	12.575
89	BORDEAUX-MERIGNAC	20160330	15.425
90	BORDEAUX-MERIGNAC	20160331	9.875
91	BORDEAUX-MERIGNAC	20160401	9.225
92	BORDEAUX-MERIGNAC	20160402	11.425
93	BORDEAUX-MERIGNAC	20160403	13.7125
94	BORDEAUX-MERIGNAC	20160404	10.9875
95	BORDEAUX-MERIGNAC	20160405	11.8
96	BORDEAUX-MERIGNAC	20160406	10.425
97	BORDEAUX-MERIGNAC	20160407	9.1875
98	BORDEAUX-MERIGNAC	20160408	7.8375
99	BORDEAUX-MERIGNAC	20160409	9.7375
100	BORDEAUX-MERIGNAC	20160410	14.3125
101	BORDEAUX-MERIGNAC	20160411	13.975
102	BORDEAUX-MERIGNAC	20160412	13.75
103	BORDEAUX-MERIGNAC	20160413	12.75
104	BORDEAUX-MERIGNAC	20160414	13.6625
105	BORDEAUX-MERIGNAC	20160415	13.0
106	BORDEAUX-MERIGNAC	20160416	13.0875
107	BORDEAUX-MERIGNAC	20160417	10.7
108	BORDEAUX-MERIGNAC	20160418	10.1
109	BORDEAUX-MERIGNAC	20160419	14.0
110	BORDEAUX-MERIGNAC	20160420	15.5125
111	BORDEAUX-MERIGNAC	20160421	14.375
112	BORDEAUX-MERIGNAC	20160422	13.6125
113	BORDEAUX-MERIGNAC	20160423	12.675
114	BORDEAUX-MERIGNAC	20160424	10.325
115	BORDEAUX-MERIGNAC	20160425	10.5125
116	BORDEAUX-MERIGNAC	20160426	11.2875
117	BORDEAUX-MERIGNAC	20160427	10.3375
118	BORDEAUX-MERIGNAC	20160428	9.1875
119	BORDEAUX-MERIGNAC	20160429	9.925
120	BORDEAUX-MERIGNAC	20160430	9.7875
121	BORDEAUX-MERIGNAC	20160501	9.6625
122	BORDEAUX-MERIGNAC	20160502	11.125
123	BORDEAUX-MERIGNAC	20160503	12.95
124	BORDEAUX-MERIGNAC	20160504	15.5125
125	BORDEAUX-MERIGNAC	20160505	19.5625
126	BORDEAUX-MERIGNAC	20160506	18.35
127	BORDEAUX-MERIGNAC	20160507	18.125
128	BORDEAUX-MERIGNAC	20160508	17.9625
129	BORDEAUX-MERIGNAC	20160509	16.2625
